anglais,français
bargain,négociation
command,commandement
disguise,déguisement
etiquette,étiquette
Fast-talk,rhétorique
Language-own,Langue maternelle
Language-other,Autres langues
perform,performance
persuade,persuasion
status,statut
teach,enseignement
art,art
craft,artisanat
demolition,démolition
Fine-manipulation,précision
repair,réparation
appraise,marchandage
First-aid,Premiers soins
gaming,jeu
medicine,médecine
science,science
strategy,stratégie
insight,empathie
listen,écoute
navigate,orientation
research,recherche
sense,perception
spot,observation
track,pistage
climb,escalade
dodge,esquive
hide,dissimulation
jump,saut
stealth,discrétion
swim,natation
throw,jet
Martial-arts,arts-martiaux
brawl,Combat à mains nues
Weapon-axe,haches
Weapon-hand,Mains nues
Weapon-dagger,dagues
Weapon-flail,fléaux
Weapon-polearm,Armes d'hast
Weapon-hammer,marteaux
Weapon-sword,épées
Weapon-spear,lances
Weapon-mace,masses
Weapon-improvised,armes improvisées
Weapons-staff,bâtons
Weapon-crossbow,arbalètes
Weapon-bow,arcs
Weapon-missile,armes de jet
